timestamp,gctMs,swingTime,strideTime,gaitCycleTime,cadence,gctPct,activityType,speedMps,vgrfAverage,fsaDeg,strideLenM,vgrfImpulseBws,vgrfActivePeakBw,lrInstantaneousBwps,vgrfCurveBnOutput0,vgrfCurveBnOutput1,vgrfCurveBnOutput2,vgrfCurveBnOutput3,latitude,longitude
1762898975.389383,305.510193,398.420593,766.558044,703.930786,78.271957,43.4006,2,1.990663,1.155164,0.712023,1.525959,0.352914,1.98195,45.398746,1.586573,1.898024,1.181946,3.440473,45.51330968842187,-122.82994825824645
1762898976.165998,270.233276,465.011169,776.57843,735.244446,77.261993,36.754208,2,2.302444,1.356162,1.309969,1.788028,0.36648,2.234607,62.219418,1.515146,2.012934,1.17498,3.399928,45.51330968842187,-122.82994825824645
1762898976.927582,240.301331,486.175293,761.547852,726.476624,78.786911,33.077641,2,2.833967,1.502046,-1.258147,2.158202,0.360944,2.439484,126.85759,0.96799,2.535713,1.095178,3.240283,45.513309528738425,-122.82994931150608
1762898977.651591,253.129303,485.872772,723.971497,739.002075,82.87619,34.252853,2,3.185503,1.452009,2.68282,2.306214,0.367546,2.367175,151.67067,0.947514,2.432384,0.808532,3.514236,45.513309528738425,-122.82994931150608
1762898978.359316,253.129303,454.559113,707.688416,707.688416,84.783073,35.768467,2,3.139047,1.392333,2.114239,2.221467,0.35244,2.28372,99.648811,1.400215,2.202204,1.470709,3.450538,45.513309528738425,-122.82994931150608
1762898979.045747,258.474304,434.183594,686.395142,692.657898,87.413208,37.316303,2,2.823389,1.336392,-1.29998,1.93796,0.345423,2.208234,75.923172,1.517682,2.105531,1.305549,3.18654,45.513309528738425,-122.82994931150608
1762898979.774767,263.819275,471.425171,728.981689,735.244446,82.306595,35.881844,2,2.409791,1.388072,1.409977,1.756693,0.3662,2.277876,75.845779,1.655608,2.134375,1.003353,3.350073,45.513309528738425,-122.82994931150608
1762898980.473724,242.439331,431.430359,698.920654,673.86969,85.846657,35.97718,2,2.239226,1.384509,-1.89645,1.565041,0.335659,2.273002,86.854156,1.655608,2.134375,1.003353,3.350073,45.513309528738425,-122.82994931150608
1762898981.246581,228.542343,527.995361,772.820801,756.53772,77.637665,30.208981,2,3.185218,1.640535,0.755738,2.461603,0.374932,2.650705,87.438179,1.655608,2.134375,1.003353,3.350073,45.513309528738425,-122.82994931150608
1762898982.026954,217.852371,549.958252,780.336121,767.810608,76.889946,28.37319,2,3.619165,1.743856,1.66898,2.824166,0.379903,2.818901,167.297821,1.655608,2.134375,1.003353,3.350073,45.513309528738425,-122.82994931150608
