timestamp,gctMs,swingTime,strideTime,gaitCycleTime,cadence,gctPct,activityType,speedMps,vgrfAverage,fsaDeg,strideLenM,vgrfImpulseBws,vgrfActivePeakBw,lrInstantaneousBwps,vgrfCurveBnOutput0,vgrfCurveBnOutput1,vgrfCurveBnOutput2,vgrfCurveBnOutput3,latitude,longitude
1762989205.992928,198.610413,570.452759,777.830994,769.063171,77.137581,25.82498,2,4.483067,1.911618,2.663601,3.487068,0.379667,3.11132,206.680161,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989206.768291,209.300385,578.551025,775.325928,787.851379,77.38681,26.565971,2,4.241549,1.859516,2.537032,3.288583,0.389197,3.017943,179.521011,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989207.547411,208.231384,569.599609,779.083557,777.830994,77.013565,26.770773,2,4.320909,1.845624,3.563046,3.366349,0.384317,2.993436,138.02562,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989208.346584,191.127426,587.956116,799.124329,779.083557,75.082184,24.532341,2,4.421048,2.010043,1.842731,3.532967,0.384174,3.294011,238.385452,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989209.108168,208.231384,573.357239,761.547852,781.588623,78.786911,26.642069,2,4.573012,1.854329,8.511878,3.482567,0.38613,3.008775,136.434357,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989209.883531,205.024399,566.543823,775.325928,771.568237,77.38681,26.572428,2,4.535827,1.859075,5.401483,3.516744,0.381156,3.017163,138.463516,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989210.663905,206.093384,575.495239,780.336121,781.588623,76.889946,26.368523,2,4.548077,1.873113,3.831936,3.549029,0.386036,3.04209,156.729492,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989211.439267,202.886414,568.681824,775.325928,771.568237,77.38681,26.295332,2,4.497642,1.878205,3.846876,3.487138,0.381062,3.051173,160.478226,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989212.208379,202.886414,566.176758,769.063171,769.063171,78.016998,26.380983,2,4.546181,1.872249,3.382803,3.4963,0.379854,3.040551,190.113098,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989212.977479,198.610413,565.442566,769.063171,764.052979,78.016998,25.994324,2,4.412212,1.899449,2.166106,3.39327,0.37725,3.089305,229.284164,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989213.752841,201.817413,577.266113,775.325928,779.083557,77.38681,25.904461,2,4.452432,1.905887,2.968384,3.452086,0.384641,3.100936,152.77951,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989214.516931,203.955414,562.602661,764.052979,766.558044,78.528587,26.606649,2,4.449342,1.85674,3.589312,3.399533,0.378692,3.013032,152.059799,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989215.304819,202.886414,583.712402,787.851379,786.598816,76.156494,25.79287,2,4.407762,1.913943,3.003835,3.472661,0.388313,3.115542,167.817993,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989216.083952,203.955414,576.380737,779.083557,780.336121,77.013565,26.136866,2,4.404874,1.889328,2.107045,3.431765,0.385339,3.07109,214.854294,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989216.849294,206.093384,561.717224,765.305542,767.810608,78.400063,26.841694,2,4.485696,1.840863,4.356102,3.432928,0.37939,2.985075,163.974854,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989217.630919,198.610413,574.210388,781.588623,772.820801,76.766724,25.699413,2,4.432527,1.920745,3.022981,3.464412,0.38148,3.127915,204.173065,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989218.411292,203.955414,582.643433,780.336121,786.598816,76.889946,25.928772,2,4.414485,1.904141,3.777708,3.444782,0.38836,3.097778,183.667572,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989219.191677,205.024399,576.564209,780.336121,781.588623,76.889946,26.231754,2,4.332631,1.882651,3.562013,3.380908,0.385989,3.059122,176.886261,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989219.969544,200.748413,572.072388,777.830994,772.820801,77.137581,25.976063,2,4.261859,1.900753,2.515415,3.315006,0.381573,3.091659,158.360214,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989220.752422,196.472412,581.358582,782.841187,777.830994,76.643898,25.259008,2,4.24707,1.953473,0.856705,3.324781,0.383803,3.188003,226.517059,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989221.524028,213.576385,578.032593,771.568237,791.609009,77.763702,26.980034,2,4.386108,1.831648,3.523058,3.384182,0.391197,2.968945,149.314178,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989222.314433,202.886414,574.94458,790.356445,777.830994,75.915115,26.083612,2,4.352585,1.893096,1.421892,3.440094,0.384083,3.077862,268.402191,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989223.087291,212.507385,571.586365,772.820801,784.09375,77.637665,27.102291,2,4.346274,1.823582,2.583513,3.358891,0.387525,2.954888,206.680801,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989223.862653,210.369385,562.451416,775.325928,772.820801,77.38681,27.22098,2,4.370217,1.815822,4.164459,3.388343,0.381993,2.941413,205.325378,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989224.649288,208.231384,575.862366,786.598816,784.09375,76.277763,26.556952,2,4.328121,1.860133,2.733064,3.404495,0.387338,3.019035,229.734818,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989225.424663,209.300385,567.278076,775.325928,776.57843,77.38681,26.951609,2,4.303726,1.833534,2.264823,3.336791,0.383759,2.97224,230.790756,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989226.211298,199.679413,575.646484,786.598816,775.325928,76.277763,25.754255,2,4.300162,1.916747,0.644146,3.382503,0.382735,3.120638,262.90918,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989226.994177,213.576385,585.547974,782.841187,799.124329,76.643898,26.726303,2,4.262208,1.848623,2.242578,3.336632,0.394822,2.998712,219.784561,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989227.782065,212.507385,574.091431,787.851379,786.598816,76.156494,27.015982,2,4.117854,1.829269,2.101992,3.244256,0.388733,2.964793,192.709396,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989228.559945,213.576385,565.507202,777.830994,779.083557,77.137581,27.413797,2,4.179014,1.803357,2.761986,3.250567,0.385154,2.919878,173.162247,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989229.350338,221.059372,578.064941,790.356445,799.124329,75.915115,27.662701,2,4.13631,1.787523,2.181931,3.269159,0.395149,2.892714,185.627853,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989230.121943,229.611359,551.977295,771.568237,781.588623,77.763702,29.37752,2,4.113275,1.685731,3.715438,3.173672,0.387063,2.723163,119.907913,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
1762989230.902315,226.404358,550.174072,780.336121,776.57843,76.889946,29.154089,2,4.010637,1.698316,2.169684,3.129645,0.384506,2.743648,172.606888,1.67871,1.724712,0.518859,3.265605,45.512674318901055,-122.83159622294274
